# T(K) V(AA^3) q1(AA) q2(AA)
5.402946 81.807952 0.129804 0.399409
#11.170160 81.804960 0.129132 0.000000
20.590694 81.807905 0.129132 0.398748
29.594118 81.813889 0.130476 0.400732
39.868591 81.819827 0.123758 0.402715
51.828387 81.840631 0.121742 0.398748
61.467337 81.843600 0.114351 0.399409
71.825329 81.852531 0.115023 0.397426
81.464290 81.861437 0.110319 0.399409
90.201307 81.885264 0.106958 0.396764
99.676581 81.891224 0.094858 0.396764
111.039227 81.920916 0.086117 0.396103
120.617216 81.929824 0.076703 0.398087
129.723370 81.938637 0.052487 0.396103
141.299362 81.965559 0.000000 0.395442
150.562985 81.983501 0.000000 0.395442
160.226203 82.010469 0.000000 0.392134
169.489811 82.034471 0.000000 0.392134
179.523860 82.061448 0.000000 0.390811
190.111571 82.079434 0.000000 0.389488
200.237047 82.112385 0.000000 0.386840
225.259472 82.169442 0.000000 0.382868
249.728234 82.238426 0.000000 0.378233
275.241717 82.307498 0.000000 0.373595
294.842457 82.361515 0.000000 0.367630
325.349228 82.451741 0.000000 0.361662
350.308993 82.532934 0.000000 0.357018
372.346301 82.617103 0.000000 0.356354
380.748073 82.638190 0.000000 0.356354
390.103132 82.659309 0.000000 0.353036
399.703675 82.689420 0.000000 0.349053
408.505071 82.710500 0.000000 0.346397
421.187308 82.752698 0.000000 0.345733
429.680488 82.782820 0.000000 0.335767
437.499800 82.809941 0.000000 0.350381
444.182928 82.831074 0.000000 0.335102
445.222576 82.827849 0.000000 0.338425
472.464841 82.888135 0.000000 0.335102
499.056895 82.960553 0.000000 0.329784
523.063391 83.039097 0.000000 0.326459
546.838783 83.120605 0.000000 0.315147
571.938237 83.211317 0.000000 0.311153
597.899563 83.302022 0.000000 0.301828
623.735588 83.386801 0.000000 0.291165
647.804767 83.489752 0.000000 0.277157
672.841573 83.580654 0.000000 0.271818
696.910748 83.668592 0.000000 0.255790
723.209020 83.774760 0.000000 0.235734
747.215516 83.862809 0.000000 0.223022
772.546157 83.972170 0.000000 0.196232
797.582980 84.057295 0.000000 0.165386
822.282857 84.185044 0.000000 0.114351
#High symmetry unmerged data
833.282032 84.230696 0 0
843.451581 84.276364 0 0
853.620989 84.322049 0 0
861.941567 84.349468 0 0
871.186560 84.404324 0 0
881.355968 84.422614 0 0
889.676547 84.477501 0 0
901.694925 84.532412 0 0
913.713444 84.550721 0 0
923.882993 84.596505 0 0
946.070920 84.688122 0 0
972.881485 84.798151 0 0
