# T(K) V(AA^3) q1(AA) q2(AA)
2.465172 77.673616 0.000000 0.291979
9.766697 77.672045 0.000000 0.291979
19.775460 77.672045 0.000000 0.292986
29.640200 77.675238 0.000000 0.292986
39.406898 77.678368 0.000000 0.288452
49.715856 77.690961 0.000000 0.290468
74.769856 77.716151 0.000000 0.285429
99.973971 77.752331 0.000000 0.282909
124.583761 77.796355 0.000000 0.276355
149.343648 77.843557 0.000000 0.270807
174.893934 77.890781 0.000000 0.267780
198.961468 77.952156 0.000000 0.260211
205.428653 77.953748 0.000000 0.261725
209.962779 77.975779 0.000000 0.256678
215.137210 77.983665 0.000000 0.256173
221.304200 77.996264 0.000000 0.256678
224.309596 78.018300 0.000000 0.250619
230.332564 78.013594 0.000000 0.252133
234.768652 78.029334 0.000000 0.250619
256.633341 78.097038 0.000000 0.238494
262.947388 78.100178 0.000000 0.237484
267.138381 78.104911 0.000000 0.235462
272.468988 78.125344 0.000000 0.233946
278.139700 78.131655 0.000000 0.231419
283.663334 78.144277 0.000000 0.234957
287.900305 78.152166 0.000000 0.229902
293.377980 78.166325 0.000000 0.227374
297.909053 78.180513 0.000000 0.224846
303.184574 78.194688 0.000000 0.222823
309.204497 78.216757 0.000000 0.220294
315.849527 78.240394 0.000000 0.223329
320.637866 78.257733 0.000000 0.222317
325.766319 78.265626 0.000000 0.217259
330.839652 78.276653 0.000000 0.211694
336.170270 78.290850 0.000000 0.213718
341.298723 78.297153 0.000000 0.212200
347.851775 78.320825 0.000000 0.207645
352.778070 78.333446 0.000000 0.209164
357.759455 78.350785 0.000000 0.206127
363.871337 78.371304 0.000000 0.202584
372.804711 78.391825 0.000000 0.198534
378.126199 78.415490 0.000000 0.195496
400.000003 78.454969 0.000000 0.182833
419.484384 78.507078 0.000000 0.169657
440.393365 78.563929 0.000000 0.151910
460.217868 78.630280 0.000000 0.137705
469.932495 78.649244 0.000000 0.121971
479.601163 78.695073 0.000000 0.109785
#cubic phase
490.882340 78.714040 0 0
505.294086 78.759887 0 0
510.588212 78.783608 0 0
516.470610 78.807334 0 0
521.764691 78.826318 0 0
531.176492 78.840558 0 0
540.588202 78.859547 0 0 
551.176455 78.888037 0 0
560.588255 78.926034 0 0
569.999965 78.945037 0 0
581.176489 78.968795 0 0
600.000000 79.021079 0 0
625.294134 79.087657 0 0
