# T(K) V(AA^3) q1(AA) q2(AA)
504.340382 122.226183 0.000000 0.171599
514.063471 122.268502 0.000000 0.168286
524.524841 122.305102 0.000000 0.164972
534.147190 122.345153 0.000000 0.161290
544.153166 122.387494 0.000000 0.156502
554.048749 122.426407 0.000000 0.154292
564.045058 122.464188 0.000000 0.150239
573.950322 122.507705 0.000000 0.146923
584.128785 122.548934 0.000000 0.143607
594.034027 122.589035 0.000000 0.136972
603.848190 122.624554 0.000000 0.132180
614.309560 122.666958 0.000000 0.124806
624.214795 122.704786 0.000000 0.120380
633.837159 122.743764 0.000000 0.115585
643.833468 122.780458 0.000000 0.107469
653.920864 122.813719 0.000000 0.099351
665.350966 122.867640 0.000000 0.084588
675.064402 122.902060 0.000000 0.078681
684.959972 122.934185 0.000000 0.075358
694.683068 122.973212 0.000000 0.069819
704.942944 122.973195 0.000000 0.069081
725.055656 123.081104 0.000000 0.066865
