# T(K) V(AA^3)
332.081155 124.463735
349.101200 124.551386
366.121246 124.668611
383.460775 124.761865
417.478589 125.037135
433.997662 125.161081
451.627666 125.303527
468.437180 125.441471
502.295852 125.749915
519.395807 125.882469
536.975015 126.058637
570.833626 126.387091
587.933581 126.567243
604.931870 126.692533
621.262180 126.895020
656.420547 127.244095
672.750808 127.333272
689.799967 127.512514
723.658602 127.842969
741.528227 128.028728
758.867790 128.183575
775.437732 128.291438
809.485131 128.563351
826.875539 128.712207
843.685041 128.798515
