# T(K) V(AA^3) q1(AA) q2(AA)
#297.380167 133.466126 0.756364 1.049697
522.947978 134.469305 0.711515 0.989091
572.450074 134.691685 0.699394 0.966061
623.150433 134.854561 0.695758 0.945455
672.854506 135.061044 0.661818 0.929697
722.372430 135.256857 0.632727 0.912727
771.983464 135.466481 0.619394 0.898182
795.918515 135.559110 0.596364 0.894545
822.046042 135.668140 0.552727 0.890909
846.664381 135.777203 0.509091 0.882424
872.061064 135.894491 0.433939 0.871515
893.588233 135.995508 0.000000 0.873939
909.874443 136.072001 0.000000 0.846061
920.349662 136.129407 0.000000 0.842424
931.525998 136.140303 0.000000 0.831515
945.991036 136.211365 0.000000 0.815758
960.878014 136.268769 0.000000 0.795152
977.375183 136.755972 0.000000 0.778182
993.273624 136.797183 0.000000 0.690909
1002.373353 136.827354 0.000000 0.709091
1022.438454 136.876771 0.000000 0.698182
1047.776848 136.981058 0.000000 0.676364
1072.403737 137.057957 0.000000 0.652121
1097.251908 137.143109 0.000000 0.640000
1120.922162 137.162419 0.000000 0.604848
1146.995804 137.236615 0.000000 0.589091
1171.132523 137.321817 0.000000 0.550303
1196.913515 137.467555 0.000000 0.489697
#cubic phase
1223.149944 137.577619 0 0
1247.659746 137.701505 0 0
1273.150000 137.800668 0 0
1322.169604 138.057059 0 0
1371.189208 138.288912 0 0
