# T(K) V(AA^3) q1(AA) q2(AA)
429.881405 130.740974 0.000000 0.547576
491.120888 131.146056 0.000000 0.527273
531.107578 131.426682 0.000000 0.507879
543.992880 131.508264 0.000000 0.504848
561.302566 131.555754 0.000000 0.499091
571.107382 131.639262 0.000000 0.492424
581.369462 131.711421 0.000000 0.499394
601.410129 131.861557 0.000000 0.489697
611.456691 131.924332 0.000000 0.485455
631.510477 132.091774 0.000000 0.481212
651.637821 132.253610 0.000000 0.470000
671.626976 132.411376 0.000000 0.459697
680.173462 132.490306 0 0
689.742456 132.565834 0 0
699.828699 132.634521 0 0
710.173580 132.710103 0 0
