# T(K) V(AA^3)
299.425287 129.939423
309.482757 129.982711
319.252871 130.042952
329.597697 130.093790
339.367811 130.148416
349.568968 130.218130
359.339073 130.276538
369.396569 130.344403
379.310334 130.402847
389.655161 130.466971
400.287343 130.548191
409.770109 130.616212
419.252867 130.674806
438.936763 130.805274
449.712624 130.869604
459.482746 130.937736
469.396529 131.007781
479.597695 131.068387
499.712617 131.212389
509.626409 131.282515
519.683879 131.354584
549.568933 131.578509
590.086169 131.777922
619.612027 132.009928
639.655180 132.166049
659.225035 132.329048
680.173462 132.490306
689.742456 132.565834
699.828699 132.634521
710.173580 132.710103
