#T_lit uncert T_all uncert T_restr uncert
#Ba2Bi2O6
132 5 148.3 0.71 146.9 1.5  
830 5 829.8 1.45 812.3 1.2
#Ba2BiSbO6
0 0 0 0 0 0
515 5 510.6 1.0 525.28 0.58 
#Ba2GdMoO6
100 25 98 3.4 77 9 
220 30 209 8.3 203.2 2.6
#La2CoMnO6
#Resultado de Bull et al. por DSC (referencia 2 en la fuente)
600 25 660 8 666 6 
1520 25 1544.0 11 1510 14
#Sr2CrSbO6
0 0 0 0 0 0
680 30 730.2 0.4 720.0 0.7
#Sr2CuWO6
0 0 0 0 0 0
900 30 878.17 0.06 862 16
#Sr2InTaO6
978 10 978.5 8.7 1007 3.5
1245 10 1267.8 0.4 1247.7 4.4
#Sr2NiMoO6
0 0 0 0 0 0
563 13 662.7 0.7 654 4
#
