#Uncertainties in tolerance factors not included
# a+   T+     b+    a-   T-    b-     c     k   la+  la-   d+     d-
#Ba2Bi2O6
0.000 0.717 1.467 0.009 1.458 1.615 1.559 1.154 1.084 0.234 1.430 1.294
#Ba2BiSbO6
0.000 0.000 0.000 0.025 1.046 0.967 0.000 0.594 0.000 0.495 0.000 0.000
#Ba2GdMoO6
0.000 3.461 7.311 0.006 8.383 4.183 8.825 7.140 15.54 2.779 4.680 3.474
#La2CoMnO6
0.000 8.019 3.980 0.008 11.86 7.945 11.40 4.398 7.349 0.927 6.739 1.663
#Sr2CrSbO6
0.000 0.000 0.000 0.000 0.417 0.043 0.000 0.077 0.000 0.451 0.000 0.0005
#Sr2CuWO6
0.000 0.000 0.000 0.000 0.006 11.36 0.000 1.175 0.000 0.811 0.000 10.999
#Sr2InTaO6
0.000 8.708 4.934 0.004 0.384 6.852 6.999 0.453 2.194 11.42 4.389 3.4735 
#Sr2NiMoO6
0.000 0.000 0.000 0.000 0.749 9.351 0.000 0.756 0.000 1.697 0.000 9.4919
